Nama,NIK,Tanggal Lahir,Alamat
Ananda Fadila,3276010101010001,2001-01-01,Jl. Melati No.10
Ananda Rasyid,3276010101010002,2001-01-01,Jl. Melati No.10
Budi Santoso,3276010101020003,1999-05-12,Jl. Kenanga No.5
Citra Dewi,3276010101030004,2000-11-23,Jl. Mawar No.7
Dian Puspita,3276010101040005,1998-08-30,Jl. Dahlia No.3
Eka Saputra,3276010101050006,2002-03-18,Jl. Anggrek No.4
Fajar Nugroho,3276010101060007,2001-07-07,Jl. Melur No.11
Gita Prameswari,3276010101070008,1997-09-09,Jl. Kamboja No.2
Hariyanto,3276010101080009,1996-06-14,Jl. Flamboyan No.6
Indah Lestari,3276010101090010,2000-10-25,Jl. Mawar No.7
Joko Prabowo,3276010101100011,1995-01-01,Jl. Dahlia No.3
Kiki Amelia,3276010101110012,2003-04-04,Jl. Anggrek No.4
Linda Marlina,3276010101120013,1999-09-09,Jl. Melati No.10
Maya Safitri,3276010101130014,1998-02-20,Jl. Kenanga No.5
Nina Rosdiana,3276010101140015,2001-12-12,Jl. Mawar No.7
Oka Setiawan,3276010101150016,2002-08-08,Jl. Melur No.11
Ananda Fadillah,3276010101160017,2001-01-01,Jl. Melati No.12
Gita Pramesari,3276010101170018,1997-09-09,Jl. Kamboja No.3
Hariyanto,3276010101180019,1996-06-14,Jl. Flamboyan No.6
Linda Marliani,3276010101190020,1999-09-09,Jl. Melati No.11
