Nama,NIK,Tanggal Lahir,Alamat
Joko Prabowo,3276010101100011,1995-01-01,Jl. Dahlia No.3
Ananda Febrian,3276010101011002,2001-02-01,Jl. Merpati No.2
Ananda Rasyid,3276010101011003,2000-03-15,Jl. Nuri No.3
Ananda Putri,3276010101011004,2002-04-10,Jl. Nuri No.4
Gita Prameswari,3276010101011005,1999-05-12,Jl. Kenari No.5
Gita Pramesari,3276010101011006,1999-05-12,Jl. Kenari No.6
Gita Paramitha,3276010101011007,1998-06-25,Jl. Jalak No.7
Gita Lestari,3276010101011008,1997-07-30,Jl. Jalak No.8
Rizky Ananda,3276010101011009,2001-08-20,Jl. Rajawali No.9
Nur Ananda,3276010101011010,2000-09-18,Jl. Rajawali No.10
Putri Ananda,3276010101011011,2003-10-01,Jl. Elang No.11
Gita Rahma,3276010101011012,1996-11-11,Jl. Elang No.12
Gita Novita,3276010101011013,1995-12-12,Jl. Merak No.13
Fadila Ananda,3276010101011014,2002-01-05,Jl. Merak No.14
Rahma Gita,3276010101011015,1997-02-17,Jl. Kenari No.15
Ananda Gilang,3276010101011016,2001-03-03,Jl. Nuri No.16
Anindya Gita,3276010101011017,1998-04-04,Jl. Jalak No.17
Dewi Ananda,3276010101011018,1999-05-05,Jl. Merpati No.18
Gilang Ananda,3276010101011019,2000-06-06,Jl. Elang No.19
Prameswari Gita,3276010101011020,2003-07-07,Jl. Merak No.20
