Nama,NIK,Tanggal Lahir,Alamat
"Intan Naufal,9524531223923295,2000-08-20,""Jl. Kaliworo No.77 RT01/RW02, Wonosobo, Jawa Tengah"""
"Dinda Raisa,2999942547069527,2000-12-31,""Jl. Adi Sucipto No.12 RT02/RW04, Solo, Jawa Tengah"""
"Zahra Salsabila,5063399052015328,2002-02-18,""Jl. Sunan Kudus No.9 RT05/RW02, Kudus, Jawa Tengah"""
"Vania Naufal,4148786058074309,2004-03-22,""Jl. Kaliurang No.45 RT03/RW01, Sleman, Yogyakarta"""
"Anya Rizky,1240225812179085,2001-07-19,""Jl. Ringroad Utara No.100 RT05/RW04, Sleman, Yogyakarta"""
"Anya Vania,1479693794357016,2001-03-26,""Jl. Dieng No.21 RT01/RW03, Wonosobo, Jawa Tengah"""
"Cinta Naufal,5521678847476169,2003-04-10,""Jl. Margonda No.88 RT04/RW05, Depok, Jawa Barat"""
"Nadya Vania,3123699725267121,2001-06-29,""Jl. Pahlawan No.23 RT03/RW03, Kudus, Jawa Tengah"""
"Iqbal Alif,9957886098819152,2000-10-24,""Jl. Veteran No.50 RT02/RW01, Yogyakarta, DI Yogyakarta"""
"Cinta Bayu,4376909797038092,2004-05-16,""Jl. Solo Baru No.33 RT06/RW06, Solo, Jawa Tengah"""
"Putri Naufal,1253889366155089,2000-11-18,""Gang Jakarta No. 999, Sukabumi, Lampung 68701"""
"Dinda Bayu,9384134012818659,2001-11-17,""Gg. Kiaracondong No. 8, Sorong, BA 57875"""
"Anya Fadil,8558627470443256,2005-05-01,""Jalan Astana Anyar No. 93, Kota Administrasi Jakarta Utara, BE 85932"""
"Raisa Rizky,6854326961921009,2004-02-19,""Gg. Jayawijaya No. 0, Samarinda, Papua Barat 22395"""
"Vania Putri,8128122438031023,2003-10-24,""Jalan Ahmad Yani No. 784, Pasuruan, BT 03930"""
"Anya Dinda,2239386454981827,2004-09-02,""Jalan Gegerkalong Hilir No. 25, Banda Aceh, JT 18515"""
"Dinda Fadil,3583977043836155,2000-09-13,""Gang Raya Ujungberung No. 267, Cirebon, NT 92644"""
"Fadil Rian,8473831150778787,2003-09-16,""Gg. Ahmad Yani No. 295, Subulussalam, Gorontalo 25135"""
"Alif Laras,7269657848925803,2004-01-30,""Gg. Cihampelas No. 433, Malang, BB 00676"""
"Intan Putri,2250135405471794,2001-12-02,""Gang Sentot Alibasa No. 6, Pariaman, Kalimantan Timur 71040"""
"Aurel Cinta,7354905589836263,2003-06-18,""Jl. Sadang Serang No. 621, Makassar, SU 62962"""
"Cinta Nabila,5040642822380031,2002-04-12,""Jalan Kebonjati No. 88, Surabaya, Lampung 31069"""
"Laras Intan,1047298822764192,2005-02-15,""Gg. Abdul Muis No. 14, Dumai, GO 32417"""
"Tasya Dinda,1713604116924103,2001-06-07,""Gang Kapten Muslihat No. 18, Denpasar, PA 52704"""
"Salsabila Putri,3305156274024532,2004-03-11,""Gg. Ahmad Yani No. 211, Probolinggo, SR 80686"""
"Laras Zahra,8520677640087085,2005-01-02,""Gang Ciwastra No. 08, Bitung, ST 23320"""
"Vania Tasya,9468801691479874,2004-01-20,""Jl. Kutisari Selatan No. 51, Meulaboh, Riau 48709"""
"Arka Vania,4812339792742532,2005-06-13,""Jalan Ir. H. Djuanda No. 9, Bima, GO 85646"""
"Arka Intan,3594988214140902,2004-07-31,""Gg. Surapati No. 996, Mojokerto, NB 07450"""
"Daffa Vania,2097511466450618,2003-04-29,""Gang Dipenogoro No. 247, Kota Administrasi Jakarta Timur, SR 37367"""
"Cinta Vania,4781449145278220,2004-11-04,""Jl. Rajawali Timur No. 8, Bogor, SU 23303"""
"Anya Keyla,1565717875647989,2000-09-24,""Jalan Pelajar Pejuang No. 78, Subulussalam, JA 35797"""
"Arka Intan,9152839363832448,2001-12-17,""Jalan Pasirkoja No. 1, Bandar Lampung, PB 29333"""
"Nadya Iqbal,5828344667595722,2002-03-18,""Jl. Waringin No. 290, Kota Administrasi Jakarta Pusat, MA 66574"""
"Fadil Rizky,5642093562055818,2002-04-22,""Jalan Abdul Muis No. 5, Langsa, GO 15454"""
"Dinda Alya,7472070077589577,2002-09-03,""Jl. Cikutra Barat No. 6, Tangerang Selatan, JB 74466"""
"Daffa Aurel,4866240616549644,2003-10-03,""Jalan Jayawijaya No. 7, Pekalongan, Maluku 82417"""
"Naufal Laras,4177883302635826,2001-07-16,""Jalan Merdeka No. 34, Magelang, PA 94717"""
"Salsabila Tasya,4752107355604085,2000-11-27,""Jl. Sukabumi No. 4, Banjarbaru, Jawa Tengah 35697"""
"Arka Anya,7018746683768024,2001-09-01,""Gg. Rumah Sakit No. 2, Subulussalam, BE 74329"""
"Nabila Daffa,9778906811438442,2001-10-19,""Gg. KH Amin Jasuta No. 66, Meulaboh, AC 83505"""
"Alya Nadya,9587495341256345,2004-12-19,""Jl. Merdeka No. 5, Blitar, Gorontalo 89421"""
"Naufal Fadil,5569602726622358,2000-11-03,""Gang Bangka Raya No. 2, Pasuruan, NT 26033"""
"Salsabila Arka,1183156965435161,2001-07-26,""Jl. Siliwangi No. 0, Subulussalam, Kepulauan Bangka Belitung 90100"""
"Daffa Raisa,5234600986617377,2001-06-08,""Jalan M.H Thamrin No. 72, Tanjungbalai, AC 61849"""
"Naufal Keyla,4484715855860267,2001-08-14,""Gg. Gardujati No. 739, Kota Administrasi Jakarta Selatan, SU 56420"""
"Aurel Raisa,7731228454533429,2005-02-11,""Gang Moch. Toha No. 011, Bukittinggi, JK 14374"""
"Fadil Rizky,8102357022867714,2002-09-12,""Jl. Cihampelas No. 55, Ternate, JA 00225"""
"Intan Cinta,3171867658254844,2003-06-29,""Gg. Sadang Serang No. 166, Kota Administrasi Jakarta Timur, PB 62120"""
"Aurel Raka,7949064256632606,2001-10-22,""Gang K.H. Wahid Hasyim No. 6, Singkawang, Bali 77167"""
"Keyla Nabila,7815557910607583,2000-11-03,""Jalan Tebet Barat Dalam No. 9, Surakarta, Nusa Tenggara Barat 63756"""
"Rizky Fadil,1399338042237343,2001-09-18,""Gg. Yos Sudarso No. 175, Magelang, Kepulauan Riau 83866"""
"Arka Nadya,4049364700761729,2002-06-14,""Gang Dipatiukur No. 75, Payakumbuh, Bali 66088"""
"Aurel Nadya,8017894228788720,2000-06-15,""Gg. Sadang Serang No. 03, Magelang, Sulawesi Utara 71130"""
"Zahra Arka,7263509639165783,2003-05-10,""Jalan Cihampelas No. 726, Kota Administrasi Jakarta Pusat, KS 16373"""
"Naufal Salsabila,2641814091722960,2003-04-29,""Jl. Cihampelas No. 98, Payakumbuh, Aceh 86978"""
"Nadya Bayu,7449559385889619,2001-12-16,""Gg. Kapten Muslihat No. 9, Pekalongan, Papua Barat 93465"""
"Daffa Alya,3643092968031507,2002-12-14,""Gg. Rungkut Industri No. 8, Tanjungpinang, MU 33945"""
"Fadil Daffa,8125677349725014,2001-07-31,""Gg. Stasiun Wonokromo No. 99, Tangerang, Lampung 08106"""
"Fadil Rian,1377458415315114,2001-09-08,""Gg. Jamika No. 42, Tanjungbalai, Lampung 80571"""
"Alif Alya,3792918162171540,2005-03-25,""Gg. Otto Iskandardinata No. 666, Purwokerto, Bengkulu 43973"""
"Anya Tasya,9909224171143929,2003-07-31,""Gang Jend. Sudirman No. 1, Cirebon, Sumatera Selatan 60648"""
"Nadya Putri,3281647574661664,2002-09-12,""Jalan Rumah Sakit No. 20, Madiun, Bengkulu 79851"""
"Tasya Cinta,6826762027543667,2003-02-26,""Jl. Veteran No. 8, Bekasi, Nusa Tenggara Timur 35554"""
"Putri Fadil,4215338300674125,2002-04-23,""Gg. Cihampelas No. 993, Tangerang Selatan, MU 16484"""
"Cinta Vania,6906305305080999,2000-08-29,""Jalan PHH. Mustofa No. 3, Pekanbaru, JK 28801"""
"Aurel Zahra,2121172321306137,2002-03-30,""Jl. Jayawijaya No. 6, Tidore Kepulauan, Jawa Tengah 75011"""
"Nadya Vania,9011782331042733,2000-11-29,""Jl. Pasirkoja No. 67, Palangkaraya, Maluku Utara 61809"""
"Putri Aurel,4960796263049708,2000-12-27,""Jalan PHH. Mustofa No. 4, Kotamobagu, Sulawesi Tengah 60728"""
"Alif Vania,9770522243078832,2002-04-28,""Jalan Rajawali Barat No. 5, Purwokerto, Jawa Tengah 00996"""
"Arka Anya,7233597405506745,2005-01-07,""Gg. Lembong No. 82, Denpasar, Kalimantan Timur 31290"""
"Tasya Intan,9325447788688043,2005-02-13,""Jalan Pasir Koja No. 397, Manado, JB 14913"""
"Salsabila Intan,8216100253617835,2003-02-26,""Gang Indragiri No. 995, Pagaralam, JI 53364"""
"Cinta Rian,4823554808381541,2003-07-05,""Gang Cihampelas No. 47, Cirebon, DKI Jakarta 28341"""
"Anya Aurel,6426418150032690,2001-02-03,""Jalan BKR No. 4, Sungai Penuh, Jawa Tengah 63942"""
"Laras Raisa,3646011434776012,2004-05-27,""Jalan Kapten Muslihat No. 928, Palopo, Jawa Timur 99275"""
"Arka Aurel,1721194169129812,2000-10-17,""Jl. Pasirkoja No. 30, Pematangsiantar, Papua 77005"""
"Intan Aurel,3662886857113748,2001-04-30,""Gg. Suryakencana No. 59, Pematangsiantar, BB 38655"""
"Alya Arka,6427934339238158,2004-08-04,""Gg. Jend. A. Yani No. 184, Bukittinggi, KB 59136"""
"Raisa Nabila,7212847003056963,2003-04-05,""Gang Laswi No. 2, Banda Aceh, Kalimantan Utara 29922"""
"Nabila Dinda,5027383753407420,2004-10-23,""Jl. Pasirkoja No. 869, Tebingtinggi, Lampung 37977"""
"Arka Rian,8836600449925655,2001-11-25,""Jl. Wonoayu No. 8, Cimahi, Nusa Tenggara Barat 99136"""
"Cinta Laras,9990541717366805,2003-09-24,""Jl. M.T Haryono No. 6, Sibolga, Gorontalo 79908"""
"Bayu Nabila,6759827201049238,2004-09-24,""Jalan Rungkut Industri No. 0, Pematangsiantar, Sulawesi Barat 08637"""
"Nabila Bayu,7045484618999259,2003-09-11,""Jalan Pasir Koja No. 31, Serang, SR 30098"""
