Nama,NIK,Tanggal Lahir,Alamat
Ziva Hafiz,6154615969732955,08/07/2003,"Jl. Jenderal Ahmad Yani No.44 RT06/RW06, Makassar, Sulawesi Selatan"
Kirana Nina,5210018722313823,20/03/2005,"Jl. Slamet Riyadi No.75 RT02/RW04, Palembang, Sumatera Selatan"
Kirana Gilang,9854185906587219,12/03/2005,"Jl. MT Haryono No.10 RT04/RW01, Balikpapan, Kalimantan Timur"
Felicia Fikri,2168873423944664,23/08/2002,"Jl. Gajah Mada No.101 RT01/RW01, Jakarta Barat, DKI Jakarta"
Bagas Tegar,8964585687033284,19/05/2003,"Jl. Asia Afrika No.77 RT02/RW03, Bandung, Jawa Barat"
Jordi Ziva,1592203345967049,14/08/2000,"Jl. Rajawali No.39 RT04/RW05, Pekanbaru, Riau"
Melody Reyhan,4586303315520831,15/12/2003,"Jl. Sudirman No.88 RT05/RW04, Medan, Sumatera Utara"
Yasmin Tiara,3387388734783785,25/06/2001,"Jl. Siliwangi No.29 RT03/RW02, Cirebon, Jawa Barat"
Felicia Ilham,5311432993167242,09/06/2003,"Jl. Diponegoro No.35 RT01/RW03, Malang, Jawa Timur"
Adinda Amanda,4700112288382365,22/02/2002,"Jl. Darmo No.56 RT03/RW02, Surabaya, Jawa Timur"
Bagas Adinda,4687851202443229,11/05/2005,"Jl. KH Amin Jasuta No. 69, Batu, JK 53554"
Dion Tania,6178243741540068,08/05/2005,"Gang Siliwangi No. 9, Padang Sidempuan, JI 02341"
Rendi Bella,2128842276197286,11/01/2005,"Jalan Dipenogoro No. 780, Yogyakarta, Riau 14921"
Luna Adinda,3855534657921226,08/12/2001,"Jl. Peta No. 22, Bandar Lampung, BT 57784"
Nina Hafiz,3377484218394439,15/11/2002,"Gg. Medokan Ayu No. 9, Pontianak, MA 78317"
Nina Tegar,5195854268335945,22/06/2003,"Gang Jakarta No. 00, Malang, LA 80774"
Bella Reyhan,5659965127794537,21/03/2003,"Jalan Abdul Muis No. 5, Padang Sidempuan, Sulawesi Selatan 32663"
Tegar Gilang,2155936092823268,16/10/2004,"Jalan M.T Haryono No. 4, Sungai Penuh, KR 31224"
Bagas Fikri,8467452954967838,06/08/2004,"Gang Wonoayu No. 35, Bukittinggi, Bengkulu 21442"
Amanda Maya,5965702804918204,02/04/2004,"Jl. Jakarta No. 735, Lhokseumawe, SB 70512"
Sheila Kirana,6294305854458084,12/02/2001,"Jalan R.E Martadinata No. 23, Metro, Aceh 36730"
Bagas Rendi,7915559553049302,10/09/2003,"Jl. Waringin No. 45, Sorong, Banten 47435"
Melody Ziva,2162226595339836,22/11/2000,"Gg. Raya Ujungberung No. 249, Mojokerto, Kalimantan Utara 09792"
Fikri Yasmin,5529392764064361,11/08/2003,"Gg. Dipatiukur No. 9, Tual, Bengkulu 52812"
Tegar Felicia,8820155809984617,07/08/2004,"Gang Kebonjati No. 652, Banjar, Sumatera Barat 84873"
Reyhan Fikri,8488499056871768,09/04/2005,"Gang Pelajar Pejuang No. 8, Batam, Sumatera Utara 74485"
Jordi Melody,3367356276782398,24/04/2004,"Jl. Wonoayu No. 93, Tebingtinggi, DI Yogyakarta 38782"
Melody Gilang,2458867953661808,10/11/2002,"Jalan Dipenogoro No. 1, Blitar, KB 31731"
Jordi Bella,7389098579950216,20/09/2000,"Jalan Siliwangi No. 910, Sungai Penuh, SB 70586"
Luna Rendi,9534170222786545,04/08/2003,"Jl. Rajawali Barat No. 381, Tebingtinggi, Kalimantan Timur 33839"
Hafiz Nina,3558481502166398,21/12/2001,"Gang Otto Iskandardinata No. 12, Purwokerto, RI 28975"
Melody Sheila,2768127442955133,18/02/2003,"Gang Raya Ujungberung No. 3, Metro, BB 77600"
Reyhan Tiara,2127434388925509,14/11/2002,"Jalan Rajawali Barat No. 350, Purwokerto, Sumatera Selatan 10752"
Kirana Felicia,6534277114915271,18/08/2001,"Jl. Pasir Koja No. 19, Salatiga, KT 57279"
Ilham Melody,5526775672171651,06/04/2001,"Jalan Cikutra Barat No. 56, Bitung, KI 60480"
Maya Gita,9481240101470741,03/03/2003,"Jl. Cikapayang No. 6, Tomohon, Sumatera Selatan 36462"
Tiara Celine,2542035655444101,29/07/2001,"Jalan M.H Thamrin No. 41, Pekalongan, SN 27837"
Ziva Melody,3382872727464829,25/10/2003,"Jl. Pasteur No. 59, Binjai, Sulawesi Barat 55355"
Amanda Hafiz,8588834999942334,28/08/2000,"Gang Wonoayu No. 703, Tangerang Selatan, PA 11039"
Sheila Reyhan,3312876468383939,15/09/2001,"Jalan Rajawali Timur No. 70, Gorontalo, KT 88487"
Dion Adinda,1409482530850148,27/08/2001,"Gg. Jend. A. Yani No. 439, Banjarbaru, Sulawesi Tenggara 16451"
Gita Kirana,6864856288787779,12/08/2000,"Gg. Monginsidi No. 1, Pasuruan, JK 38780"
Tiara Rendi,6153354163907779,15/10/2000,"Gang Suniaraja No. 2, Malang, Nusa Tenggara Timur 43840"
Felicia Tegar,3309087122903615,23/08/2002,"Jalan Jakarta No. 62, Tegal, PB 63926"
Sheila Tania,9007371661995018,09/02/2003,"Jl. Suryakencana No. 983, Lhokseumawe, SU 62925"
Tiara Yasmin,3609130551048004,10/01/2001,"Jalan Astana Anyar No. 66, Palembang, Kepulauan Riau 31220"
Maya Reyhan,3205665349223816,21/09/2002,"Jl. Setiabudhi No. 728, Tasikmalaya, Papua 67722"
Reyhan Nina,5085159421059155,04/02/2002,"Jalan Pasteur No. 33, Batam, Kalimantan Barat 97573"
Tiara Maya,1539648418445985,02/02/2004,"Gang Suniaraja No. 9, Pematangsiantar, GO 70388"
Tegar Felicia,4743585577598061,26/10/2003,"Jl. PHH. Mustofa No. 64, Pangkalpinang, Jawa Timur 49082"
Tegar Nina,2837676766801528,24/05/2004,"Jl. Indragiri No. 8, Mojokerto, SR 70279"
Reyhan Ziva,2294054777034315,03/03/2002,"Gang Suryakencana No. 2, Bekasi, JA 51868"
Kirana Bagas,7470440650950946,23/10/2001,"Jl. Rumah Sakit No. 2, Bontang, KB 64474"
Ilham Fikri,9899325714531278,27/12/2001,"Jl. Wonoayu No. 07, Payakumbuh, Aceh 33977"
Reyhan Gilang,4591322698129006,10/12/2003,"Jl. M.H Thamrin No. 98, Banjarbaru, KB 05020"
Dion Tiara,4337532158439648,15/05/2005,"Jl. Dr. Djunjunan No. 22, Singkawang, KB 95014"
Amanda Adinda,1956418614648768,13/03/2003,"Gg. M.H Thamrin No. 472, Tanjungbalai, KR 86833"
Ilham Fikri,5201608630143065,11/12/2000,"Gang W.R. Supratman No. 5, Pontianak, Nusa Tenggara Timur 99787"
