Nama,NIK,Tanggal Lahir,Alamat
Intan Naufal,9524531223923295,20/08/2000,"Jl. Kaliworo No.77 RT01/RW02, Wonosobo, Jawa Tengah"
Dinda Raisa,2999942547069527,31/12/2000,"Jl. Adi Sucipto No.12 RT02/RW04, Solo, Jawa Tengah"
Zahra Salsabila,5063399052015328,18/02/2002,"Jl. Sunan Kudus No.9 RT05/RW02, Kudus, Jawa Tengah"
Vania Naufal,4148786058074309,22/03/2004,"Jl. Kaliurang No.45 RT03/RW01, Sleman, Yogyakarta"
Anya Rizky,1240225812179085,19/07/2001,"Jl. Ringroad Utara No.100 RT05/RW04, Sleman, Yogyakarta"
Anya Vania,1479693794357016,26/03/2001,"Jl. Dieng No.21 RT01/RW03, Wonosobo, Jawa Tengah"
Cinta Naufal,5521678847476169,10/04/2003,"Jl. Margonda No.88 RT04/RW05, Depok, Jawa Barat"
Nadya Vania,3123699725267121,29/06/2001,"Jl. Pahlawan No.23 RT03/RW03, Kudus, Jawa Tengah"
Iqbal Alif,9957886098819152,24/10/2000,"Jl. Veteran No.50 RT02/RW01, Yogyakarta, DI Yogyakarta"
Cinta Bayu,4376909797038092,16/05/2004,"Jl. Solo Baru No.33 RT06/RW06, Solo, Jawa Tengah"
Putri Naufal,1253889366155089,18/11/2000,"Gang Jakarta No. 999, Sukabumi, Lampung 68701"
Dinda Bayu,9384134012818659,17/11/2001,"Gg. Kiaracondong No. 8, Sorong, BA 57875"
Anya Fadil,8558627470443256,01/05/2005,"Jalan Astana Anyar No. 93, Kota Administrasi Jakarta Utara, BE 85932"
Raisa Rizky,6854326961921009,19/02/2004,"Gg. Jayawijaya No. 0, Samarinda, Papua Barat 22395"
Vania Putri,8128122438031023,24/10/2003,"Jalan Ahmad Yani No. 784, Pasuruan, BT 03930"
Anya Dinda,2239386454981827,02/09/2004,"Jalan Gegerkalong Hilir No. 25, Banda Aceh, JT 18515"
Dinda Fadil,3583977043836155,13/09/2000,"Gang Raya Ujungberung No. 267, Cirebon, NT 92644"
Fadil Rian,8473831150778787,16/09/2003,"Gg. Ahmad Yani No. 295, Subulussalam, Gorontalo 25135"
Alif Laras,7269657848925803,30/01/2004,"Gg. Cihampelas No. 433, Malang, BB 00676"
Intan Putri,2250135405471794,02/12/2001,"Gang Sentot Alibasa No. 6, Pariaman, Kalimantan Timur 71040"
